"","id","program_number","program_title","popular_name","objectives","website_address"
"338",338,"11.482","Coral Reef Conservation Program","","To provide matching grants of financial assistance in support of coral reef conservation programs and projects that preserve, sustain, and restore U.S. and international coral reef ecosystems.","http://coralreef.noaa.gov  "
"339",339,"11.483","NOAA Programs for Disaster Relief Appropriations Act - Non-construction and Construction","","1. Protect, Restore, and Manage the Use of Coastal and Ocean Resources through an Ecosystem Approach to Management; 
2. Understand Climate Variability and Change to Enhance Society's Ability to Plan and Respond; 
3. Serve Society's Needs for Weather and Water Information.","http://www.noaa.gov"
"340",340,"11.549","State and Local Implementation Grant Program","(SLIGP)","To assist State, regional, tribal, and local jurisdictions to identify, plan, and implement the most efficient and effective way for such jurisdictions to utilize and integrate the infrastructure, equipment, and other architecture associated with the nationwide public safety broadband network to satisfy the wireless communications and data services needs of that jurisdiction, including with regards to coverage, siting, and other needs.","http://www.ntia.doc.gov"
"341",341,"11.550","Public Telecommunications Facilities Planning and Construction","(PTFP)","To assist in the planning, acquisition, installation, and modernization of public telecommunications facilities, through planning grants and matching construction grants, in order to: (a) extend delivery of public telecommunications services to as many citizens of the United States and territories as possible by the most efficient and economical means, including the use of broadcast and nonbroadcast technologies; (b) increase public  telecommunications services and facilities available to, operated by and owned by minorities and women; and (c) strengthen the capability of existing public television and radio stations to provide public telecommunications service to the public.","http://www.ntia.doc.gov/ptfp."
"342",342,"11.553","Special Projects","","To assist various organizations identified by Congress or through non-competitive grants that promote the availability and support new sources of advanced telecommunications.","None."
"343",343,"11.557","Broadband Technology Opportunities Program (BTOP)","","The purposes of the Broadband Technology Opportunities Program (BTOP) include accelerating broadband deployment in unserved and underserved areas and ensuring that strategic institutions which are likely to create jobs or provide significant public benefits have broadband connections.","http://www.ntia.doc.gov/broadbandgrants"
"344",344,"11.558","State Broadband Data and Development Grant Program","","To establish a competitive grant program to develop and implement statewide initiatives to identify and track the availability and adoption of broadband services within each State.","http://www.ntia.doc.gov/broadbandgrants"
"345",345,"11.601","Calibration Program","","To provide a consistent system of physical measurement in the United States of America.","http://www.nist.gov/calibrations/"
"346",346,"11.603","National Standard Reference Data System","SRD","To make evaluated scientific and technical data readily available to scientists, engineers, and the general public.","http://www.nist.gov/srd."
"347",347,"11.604","Standard Reference Materials","Standard Reference Materials
(SRM)","Standard Reference Materials are certified and issued by NIST to develop accurate methods of analysis; to calibrate measurement systems used to: (1) facilitate the exchange of goods, (2) institute quality control, (3) determine material performance characteristics, (4) measure materials at state-of-the-art limits, and (5) assure the long-term adequacy and integrity of measurement quality assurance programs.","http://www.nist.gov/srm."
"348",348,"11.606","Weights and Measures Service","","To provide leadership and technical resources to assure the accuracy of the quantities and quantity representations in all commercial transactions in the United States, to promote a uniform national weights and measures system, to promote harmonization of national and international legal metrology standards, and to facilitate the transition to the metric system.","http://www.nist.gov/pml/wmd/index.cfm"
"349",349,"11.609","Measurement and Engineering Research and Standards","","To provide scientific research and technology transfer for measurement and engineering research and standards.","http://www.nist.gov"
"350",350,"11.610","National Center for Standards and Certification Information","(NCSCI)","To serve as a standards information and conformity assessment center and referral service, by maintaining a reference collection of standards and specifications, regulations, certification rules, directories, reference books and special publications. To respond to inquiries, develop and publish lists, bibliographies, indexes, and directories of standards and related information, and to provide trade related regulations and certification information to U.S. exporters and manufacturers.  To serve as U.S. Inquiry Point for the WTO TBT Agreement, NAFTA, and ISONET.  To serve as U.S. Notification Authority for the WTO TBT Agreement.","http://ts.nist.gov/ncsci/"
"351",351,"11.611","Manufacturing Extension Partnership","","To establish, maintain, and support manufacturing extension centers and services, the functions of which are to improve the competitiveness of firms accelerating the usage of appropriate manufacturing technology by smaller U.S. based manufacturing firms, and partner with the States in developing such technical assistance programs and services for their manufacturing base.","http://www.mep.nist.gov"
"352",352,"11.612","Advanced Technology Program","(ATP)","To work in partnership with industry to foster the development and broad dissemination of challenging, high-risk technologies that offer the potential for significant, broad-based economic benefits for the nation.","http://www.atp.nist.gov."
"353",353,"11.616","Technology Innovation Program (TIP) ","(TIP)","Technology Innovation Program (TIP), is a cost-shared federal financial assistance program to support, promote, and accelerate innovation in the United States through high-risk, high-reward research in areas of critical national need.","www.nist.gov/tip ."
"354",354,"11.619","Arrangements for Interdisciplinary Research Infrastructure","Not applicable","To establish an strengthen new and/or existing centers, consortia, or other arrangements for interdisciplinary research infrastructure where NIST, academic, industry and/or other federal researchers will collaborate on emerging areas of basic and applied research on innovations in measurement science, standards, technology, and/or data.","http://www.nist.gov"
"355",355,"11.620","Science, Technology, Business and/or Education Outreach","","To evaluate the benefits and impacts of NIST research and development efforts and/or evaluate and/or stimulate technological innovation in the private sector, strengthen the role of small businesses in meeting Federal research and development needs, and/or  increase private sector commercialization of innovations derived from NIST research and development efforts and/or NIST\x92s Small Business Innovation Research Program; also, to support innovative approaches and methods for science and/or technology education.","http://www.nist.gov"
"356",356,"11.801","Native American Business Enterprise Centers","(NABEC)","To provide electronic and one-on-one business development service to Native Americans interested in entering, expanding or improving their efforts in the marketplace.  MBDA's Native American Business Enterprise Center operators provide a wide range of services to clients, from initial consultations to the identification and resolution of specific business problems.","http://www.mbda.gov."
"357",357,"11.802","Minority Business Resource Development","","The objectives of the overall program are to 1) provide financial assistance awards for projects that affect or contribute to the establishment, preservation and strengthening of minority business enterprises (MBEs) as directed by congressional mandate, and 2) promote the development of novel approaches to increasing the strategic growth and global competitiveness of MBEs through the administration of pilot or demonstration  projects.","http://www.mbda.gov"
"358",358,"11.804","MBDA Business Center - American Indian and Alaska Native","","The purpose of the MBDA Business Center - American Indian and Alaska Native program is to provide strategic deal making and business consulting services to eligible American Indian and Alaska Native (AIAN) firms and Minority Business Enterprises (MBEs). This program supports the Agency mission of promoting the growth and competitiveness of U.S. businesses that are minority owned. The program is a key component of MBDA's overall portfolio of minority business development services, focusing on securing large public and/or private sector contracts and financing transactions, stimulating job creation and retention, and facilitating entry to global markets for 'eligible minority-owned businesses'.","http://www.mbda.gov"
"359",359,"11.805","MBDA Business Center","Business Center Program","The purpose of the MBDA Business Center program is to provide strategic deal-making and business consulting services to eligible Minority Business Enterprises (MBEs). This program supports the Agency mission of promoting the growth and global competitiveness of U.S. businesses that are minority-owned. The MBC program is a key component of MBDA\x92s overall portfolio of minority business development services, focusing on securing large public and/or private contracts and financing transactions, stimulating job creation and retention, and facilitating entry to global markets for eligible minority-owned businesses.","http://www.mbda.gov"
"360",360,"11.900","Patent and Trademark Technical Information Dissemination","","To promote the continued growth of American technology and commerce through the utilization and dissemination of technical information available through patents and trademarks, and maintenance of public search centers containing patents and trademarks.","http://www.uspto.gov ."
"361",361,"11.999","Marine Debris Program","","To provide grants and cooperative agreements to help identify, determine sources of, assess, reduce, and prevent marine debris and its adverse impacts on the marine environment and navigation safety within the coastal United States and territories.  Awards made under this program will remove marine debris from coastal habitats; explore non-regulatory incentives to reduce the quantity and impacts of derelict fishing gear;  support regional coordination among marine debris practitioners, states, and tribes; conduct outreach and education activities aimed at preventing marine debris; develop interagency plans to respond to \x93severe marine debris events\x94; assess debris composition, volume, and trajectory in different marine and coastal ecosystems; conduct research and development on marine debris impacts and distribution; and estimate the potential impacts of marine debris on coastal resources, habitats and economies.","http://www.marinedebris.noaa.gov"
"362",362,"12.002","Procurement Technical Assistance For Business Firms","Procurement Technical Assistance Program (PTAP)","To expand the number of businesses capable of participating in government contracts.","http://www.dla.mil/HQ/SmallBusiness/PTAP.aspx"
"363",363,"12.010","Youth Conservation Services","","To further training and educational opportunities at water resources development projects under the jurisdiction of the Secretary, the Secretary may enter into cooperative agreements with non-Federal public and nonprofit entities for services relating to natural resources conservation or recreation management.","http://www.usace.army.mil"
"364",364,"12.100","Aquatic Plant Control","","To provide for the cooperation of the Army Corps of Engineers with State and local government agencies in the control of obnoxious aquatic plants in rivers, harbors, and allied waters.","http://www.usace.army.mil/business.html."
"365",365,"12.101","Beach Erosion Control Projects","(Small Beach Erosion Control Projects)","To control beach and shore erosion to public shores through projects not specifically authorized by Congress.","http://www.usace.army.mil/business.html."
"366",366,"12.102","Emergency Rehabilitation of Flood Control Works or Federally Authorized Coastal Protection Works","(Public Law 84-99, Code 300 Program)","To assist in the repair and restoration of flood control works damaged by flood, or federally authorized hurricane flood and shore protection works damaged by extraordinary wind, wave, or water action.","http://www.usace.army.mil/business.html."
"367",367,"12.103","Emergency Operations Flood Response and Post Flood Response","(Public Law 84-99 Code 200 Program)","To provide emergency flood response and post flood response assistance as required to supplement State and local efforts and capabilities in time of flood or coastal storm.","http://www.usace.army.mil/business.html."
"368",368,"12.104","Flood Plain Management Services","(FPMS)","To promote appropriate recognition of flood hazards in land and water use planning and development through the provision of flood and flood plain related data, technical services, and guidance.","http://www.usace.army.mil/business.html."
"369",369,"12.105","Protection of Essential Highways, Highway Bridge Approaches, and Public Works","(Emergency Bank Protection)","To provide bank protection of highways, highway bridges, essential public works, churches, hospitals, schools, and other nonprofit public services endangered by flood-caused erosion.","http://www.usace.army.mil/business.html."
"370",370,"12.106","Flood Control Projects","(Small Flood Control Projects)","To reduce flood damages through projects not specifically authorized by Congress.","http://www.usace.army.mil/business.html."
"371",371,"12.107","Navigation Projects","(Small Navigation Projects)","To provide the most practicable and economic means of fulfilling the needs of general navigation, through projects not specifically authorized by Congress.","http://www.usace.army.mil/business.html."
"372",372,"12.108","Snagging and Clearing for Flood Control","(Section 208)","To reduce flood damages.","http://www.usace.army.mil/business.html."
"373",373,"12.109","Protection, Clearing and Straightening Channels","(Section 3, Emergency Dredging Projects)","To restore channels for purposes of navigation or flood control.","http://www.usace.army.mil/business.html."
"374",374,"12.110","Planning Assistance to States","(Section 22)","To cooperate with any State in the preparation of comprehensive plans for the development, utilization and conservation of water and related land resources of drainage basins located within the boundaries of such State.","http://www.usace.army.mil/business.html."
"375",375,"12.111","Emergency Advance Measures for Flood Prevention","(Public Law 84-99 Code 500 Program)","To perform activities prior to flooding or flood fight that would assist in protecting against loss of life and damages to property due to flooding.","http://www.usace.army.mil/business.html."
"376",376,"12.112","Payments to States in Lieu of Real Estate Taxes","","To compensate local taxing units for the loss of taxes from federally acquired lands, 75 percent of all monies received or deposited in the Treasury during any fiscal year for the account of leasing of lands acquired by the United States for flood control, navigation and allied purposes, including the development of hydroelectric power, are paid at the end of each year to the States in which such property is situated.","http://www.usace.army.mil/business.html."
"377",377,"12.113","State Memorandum of Agreement Program for the Reimbursement of Technical Services","(DSMOA)","To reimburse each State and territory for their costs incurred by providing technical services in support of Department of Defense Environmental Restoration Program activities.  This program seeks to facilitate State and territory participation in expediting cleanup at DoD hazardous waste sites, and to foster relations between States, military services, Defense agencies and DoD.","http://www.usace.army.mil/business.html."
"378",378,"12.114","Collaborative Research and Development","(Construction Productivity Advancement Research (CPAR) Program)","To facilitate productivity-improving research and development and application of advanced construction technologies through collaborative research and development, field demonstration, licensing agreements, and other means of commercialization and technology transfer.","http://www.usace.army.mil/business.html."
"379",379,"12.116","Department of Defense Appropriation Act of 2003","(Section 8044)","For developing a system for prioritization of mitigation and cost to complete estimates for mitigation, on Indian lands resulting from Department of Defense activities.  (1) For the mitigation of environmental impacts, including training and technical assistance to tribes, related administrative support, the gathering of information, documenting of environmental damage, and developing a system for prioritization of mitigation and cost to complete estimates for mitigation, on Indian lands resulting from Department of Defense activities.","No Data Available"
"380",380,"12.129","Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota","Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota","Legislation exclusive to the transfer in fee title of Corps of Engineers lands at directed locations to the Cheyenne River Sioux Tribe (CRST), the South Dakota Department of Game, Fish and Parks (SDGFP), and the Lower Brule Sioux Tribe (LBST).","No Data Available"
"381",381,"12.130","Estuary Habitat Restoration Program","","The objectives of the ERA program are to provide Federal assistance for estuary habitat restoration projects while encouraging partnerships among public agencies and non-governmental organizations, supporting innovation, and monitoring the success of funded projects.","http://www.usace.army.mil/Missions/Environmental/EstuaryRestoration.aspx."
"382",382,"12.217","Electronic Absentee Systems for Elections ","EASE Grants","The objective of these activities will be to:
1.Establish and ensure successful, sustainable and affordable electronic tools that will improve voting systems for voters protected by the Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA).
2.Increase the percentage of ballots successfully returned by UOCAVA voters to be either equal to, or greater than the percentage of ballots returned by the general voting population.
3.Collect and analyze data to increase effectiveness of absentee voting procedures and systems. 
4.Establish and maintain a pipeline of ideas, techniques and best practices of Election Officials and their services for UOCAVA voters.","http://www.fvap.gov"
"383",383,"12.218","FVAP Policy Clearinghouse","Overseas Voting Policy Clearinghouse for State Officials ","A policy clearinghouse connected directly to all State officials that creates and disseminates innovative military and overseas voting research and ensures that the research aligns with the capabilities and objectives of the States and local jurisdictions. The recipient will facilitate and support FVAPS\x92s electronic voting assistance research efforts.","http://www.fvap.gov"
"384",384,"12.219","EASE 2.0","Effective Absentee Systems for Elections 2.0","1. Establish and ensure successful, sustainable, and effective methods to improve voting systems for voters protected by the Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA); 2. Increase the percentage of ballots successfully returned by UOCAVA voters to be either equal to, or greater to that of the general population; and 3. Collect and analyze data to increase the effectiveness of absentee voting procedures and systems for voters protected by UOCAVA.","No Data Available"
"385",385,"12.225","Commercial Technologies for Maintenance Activities Program","(CTMA)","In partnership with industry, advance the development, integration, and use of sustainment technologies and processes which:  Improve weapon systems readiness and reliability;  Improve weapon systems capability with lowered overall sustainment costs; Reduce cycle time for sustainment; Improve business practices and data collection/management.","No Data Available"
"386",386,"12.300","Basic and Applied Scientific Research","","To support and stimulate basic and applied research and technology at educational institutions, non-profits and other research organizations, which have potential for superiority in the improvement of naval operations, and to train and motivate future researchers in science and engineering disciplines.","http://www.onr.navy.mil"
"387",387,"12.330","Science, Technology, Engineering & Mathematics (STEM) Education, Outreach and Workforce Program","","To support educational programs in Science, Technology, Engineering and Mathematics (STEM) Education, Outreach and Workforce Program.","http://www.onr.navy.mil"
"388",388,"12.335","Navy  Command, Control, Communications, Computers, Intelligence, Surveillance, and Reconnaissance ","(C4ISR)","To support basic and applied research at educational, nonprofit, or commercial research institutions, which have potential for leading to the improvement of military operations or dual-use application, and to support training and stimulation of future researchers in science and engineering disciplines.  This support may take the form of grants or cooperative agreements.","http://www.spawar.navy.mil/sandiego/"
"389",389,"12.340","Naval Medical Research and Development","","To enhance the health, safety, readiness, and performance of Navy and Marine Corps personnel through basic and applied medical research executed largely through grants, cooperative agreements, and contracts with civilian educational and research institutions/organizations.","http://www.nmlc.med.navy.mil/"
"390",390,"12.350","Department of Defense HIV/AIDS Prevention Program","","To train and assist selected foreign militaries in establishing and implementing HIV/AIDS prevention, care, and treatment programs for their military personnel and dependents.","No Data Available"
"391",391,"12.351","Basic  Scientific Research - Combating Weapons of Mass Destruction ","","To support and stimulate basic, applied and advanced research and technology development at educational or research institutions, non-profit organizations, and commercial firms, which support the advancement of fundamental knowledge and understanding of the sciences with an emphasis on exploring new and innovative research for combating or countering Weapons of Mass Destruction (WMD).","http://www.dtra.mil/be/business_opp/procurement/acq_procopp.cfm"
"392",392,"12.355","Pest Management and Vector Control Research","","Research designed to develop new interventions for protection of deployed military personnel from diseases caused by arthropod-borne pathogens and to improve control of filth flies.","http://www.3.natick.army.mil/"
"393",393,"12.357","ROTC Language and Culture Training Grants","ROTC Project GO (Global Officers)","Project GO (Global Officers) is a DoD-funded initiative that promotes critical language
education, study abroad, and intercultural dialogue opportunities within the ROTC student population in order to develop future military officers who possess the cross-cultural communication skills required for effective leadership in the 21st Century operational environment.","No Data Available"
"394",394,"12.360","Research on Chemical and Biological Defense","","To further the capability to prevent, detect, diagnose and treat the effects of chemical, radiological and biological warfare agents.","http://www.jpeocbd.osd.mil/ ."
"395",395,"12.369","Marine Corps Systems Command Federal Assistance Program","","To provide federal assistance in support of families of active duty Marines and in support of the betterment of the general public.","No Data Available"
"396",396,"12.400","Military Construction, National Guard","","Provide for the acquisition of facilities necessary for the training and administration of Army National Guard (ARNG) units in the 50 states, the District of Columbia, the Commonwealth of Puerto Rico, the Virgin Islands and Guam, by purchase, transfer, construction, expansion, rehabilitation or conversion.","http://www.ngb.dtic.mil/indexshtm/."
"397",397,"12.401","National Guard Military Operations and Maintenance (O&M) Projects","","Provide funding for the States through cooperative agreements to support the operations and maintenance of Army National Guard (ARNG) and Air National Guard (ANG) facilities and provide authorized service support activities to National Guard units and personnel through assistance awards listed below.	a. ARNG Real Property O&M Projects (RPOMA) - provide support for authorized facilities for leases, real property services, real property maintenance, and O & M minor construction projects. b. ARNG Environmental Programs Resources Management - for services provided to accomplish environmental actions such as Environmental Compliance/Corrective Projects, Environmental and Program Management. c. ARNG Security Guard Activities \x96 for security services provided at authorized facilities. d. ARNG Electronic Security System Installation -  services to maintain Joint Services Interior Intrusion Detection Systems (J-SIIDS), Commercial Intrusion Detection Systems (CIDS), Exterior Instruction Detection Systems and  Closed Circuit Television (CCTV) used for security surveillance and associated on site and off site remote monitoring equipment at authorized facilities. e. ARNG Telecommunications - services provided for installation telecommunication activities. f. ARNG Aviation Training Base Operation \x96 services provided for Air Traffic Control (ATC), Airport Agreements management and Aircraft Rescue Fire Fighting (AFF). g. ARNG Sustainable Range Program - services provided for range operations, range maintenance, leases, rentals and equipment at authorized ranges and training lands. h. ARNG Full Time Dining Facility Operations - services provided for Food Service Operations at authorized ARNG training sites. i. Office of the Chief - Administrative Services Activities - services provided for printing and duplication, mail distribution and records management services. j. ARNG Surface Petroleum \x96 support services provided for ARNG surface vehicle and equipment fuel. k. ARNG Aviation Reimbursable Maintenance Operations -  support provided for aviation reimbursable maintenance operations to include the maintenance, fabrication, and/or repair of aircraft, aircraft subassemblies, and systems.
l. ARNG Distributed Learning Program- services provided for the operation and management of linked Distance Learning centers using information technology (audio/video telecommunications) to train National Guard personnel. m. ARNG Anti-Terrorism Program Manager Activities- services provided in support of security and anti-terrorism prevention measures in State ARNG facilities. n. ANG Facilities Operations & Maintenance (FOMA) Activities -  services provided at authorized facilities for leases, real property operations, real property maintenance and repair, and O & M minor construction costs. o, ANG Environmental Program Management-  services provided to accomplish environmental compliance/corrective projects, environmental services, program management, hazardous waste management, environmental planning activities and natural resources actions. p. ANG Security Guard - services in rendering security guard activities at authorized facilities.
q. ANG Fire Protection Activities - services provided for authorized fire protection activities. r. ANG Natural and Cultural Resources Management - for Natural and Cultural resource Management projects to comply with environmental laws, conserve and restore the environment.	s. ANG Air Traffic Control Activities - service provided to perform non-approach control air traffic control and aviation weather observing/reporting. t. ANG Logistics Facilities - services provided for painting NG aircraft and related administrative support. u. ANG Services Resources Management \x96 services provided by employees for training, lodging and food service activities (cooks, custodial support and food service accounting) at authorized locations. v. ANG Combat Readiness Training Center (CRTC) Base Operating Support- services provided for CRTC operations at authorized ANG centers.
w. State Family Program Activities- services provided to ARNG and ANG families preparing for deployment, during deployment and upon return from deployment to include orientation workshops, conferences and social service activities briefings, counseling and assistance.","http://www.ngb.army.mil"
"398",398,"12.404","National Guard ChalleNGe Program","","The Secretary of Defense, acting through the Chief of the National Guard Bureau, conducts a National Guard civilian youth opportunities program (to be known as the  'National Guard ChalleNGe Program') to use the National Guard to provide military-based training, including supervised work experience in community service and conservation projects, to civilian youth who cease to attend secondary school after graduating so as to improve the life skills and employment potential of such youth.","http://www.ngb.dtic.mil/indexstm/."
"399",399,"12.420","Military Medical Research and Development","","To reduce illness and injury among U.S. military personnel on the battlefield through basic and applied medical research executed largely through grants and contracts with civilian educational and research institutions.","http://mrmc-www.army.mil; http://cdmrp.army.mil."
"400",400,"12.431","Basic Scientific Research","","To support basic research that is related to or has potential for leading to the improvement of Army programs or operations.","No Data Available"
"401",401,"12.440","Dissertation Year Fellowship","CMH Dissertation Fellowship","The U.S. Army Center of Military History Dissertation Year Fellowship program is designed to support scholarly research and writing among qualified civilian graduate students preparing dissertations in the history of land warfare.  The area of study is broadly defined, and includes military campaigns, biography, military organization and administration, policy, strategy, tactics, weaponry, technology, training, logistics, and the evolution of civil-military relations.  Topics focusing on the history of the U.S. Army are preferred but not required.","http://www.history.army.mil/html/about/fellowship.html"
"402",402,"12.450","Fort Huachuca Environmental Training ","Environmental Intern Training","The principal objective of the Fort Huachuca Environmental Intern Program is to support environmental programs through the use of student interns.  The intern program encourages the development of science, mathematics, and engineering educational programs with the focus on education and training, rather than the work product.","No Data Available"
"403",403,"12.550","The Language Flagship Grants to Institutions of Higher Education","The Language Flagship","(1) To establish centers for the teaching of critical languages that enable students to reach or exceed Level 3 in proficiency based on the Interagency Language Roundtable (ILR) scale in African Languages, Arabic, Chinese, Hindi/Urdu, Korean, Persian, and Russian; 
(2) To develop curricular, institutional, and instructional models for advanced language learning; 
(3) To test those models; 
(4) To stimulate institutional support and long term commitment to reforming language learning; and 
(5) To improve national capacity in critical languages.","http://www.thelanguageflagship.org"
"404",404,"12.551","National Security Education Program David L. Boren Scholarships","Boren Scholarships Program","(1) To provide the necessary resources, accountability and flexibility to meet the national security education needs of the United States, especially as such needs change over time;
(2) To increase the quantity, diversity, and quality of the teaching and learning of subjects in the fields of foreign language, area studies, counterproliferation studies, and other international fields that are critical to the Nation\x92s interest;
(3) To produce an increased pool of applicants for work in the departments and agencies of the United States Government with national security responsibilities; and
(4) To expand, in conjunction with other Federal programs, the international experience, knowledge base, and perspectives on which the United States citizenry, Government employees and leaders rely.","http://www.borenawards.org"
"405",405,"12.552","National Security Education Program David L. Boren Fellowships","Boren Fellowships Program","(1) To provide the necessary resources, accountability and flexibility to meet the national security education needs of the United States, especially as such needs change over time;
(2) To increase the quantity, diversity, and quality of the teaching and learning of subjects in the fields of foreign language, area studies, counterproliferation studies, and other international fields that are critical to the Nation\x92s interest;
(3) To produce an increased pool of applicants for work in the departments and agencies of the United States Government with national security responsibilities; and
(4) To expand, in conjunction with other Federal programs, the international experience, knowledge base, and perspectives on which the United States citizenry, Government employees and leaders rely.","http://www.borenawards.org"
"406",406,"12.553","The Language Flagship Fellowships","","The Language Flagship is designed to (1) address the urgent and growing need for Americans with professional levels of competency in languages critical to national security; (2) offer advanced language training in African languages, Arabic, Chinese, Hindi/Urdu, Korean, Persian, and Russian; (3) train participants to reach professional working proficiency in a target language, as measured by the federal Interagency Language Roundtable (ILR) level 3 and/or the American Council on the Teaching of Foreign Languages (ACTFL) superior level.","http://thelanguageflagship.org"
"407",407,"12.554","English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education","National Security Education Program (NSEP)","The English for Heritage Language Speakers (EHLS) program is designed to provide intensive English language instruction for U. S. citizens who are native speakers of critical languages.  The goal of the program is to enable participants to reach professional working proficiency in English, as measured by the federal Interagency Language Roundtable (ILR) level 3 and/or the American Council on the Teaching of Foreign Languages (ACTFL) superior level.  The program equips participants with the ability to read, write, speak, and listen at a superior level in an effort to build a critical base of future leaders to serve in the federal government service and the broader professional community.","http://www.cal.org/ehls."
"408",408,"12.555","English for Heritage Language Speakers Scholarships","EHLS Program","The English for Heritage Language Speakers (EHLS) program is designed to provide intensive English language instruction for U. S. citizens who are native speakers of critical languages.  The goal of the program is to enable participants to reach professional working proficiency in English, as measured by the federal Interagency Language Roundtable (ILR) level 3 and/or the American Council on the Teaching of Foreign Languages (ACTFL) superior level.  The program equips participants with the ability to read, write, speak, and listen at a superior level in an effort to build a critical base of future leaders to serve in the federal government service and the broader professional community.","http://www.cal.org/ehls"
"409",409,"12.556","Competitive Grants: Promoting K-12 Student Achievement at Military-Connected Schools","DoDEA Grant Program","To enhance student learning opportunities, student achievement, and educator professional development at military-connected schools significantly impacted by military force structure changes.  These grants may be used to address student achievement in science, technology, mathematics, or English language arts/reading.","http://militaryk12partners.dodea.edu/"
"410",410,"12.557","Invitational Grants for Military-Connected Schools","DoDEA Grant","To enhance student learning opportunities, student achievement, educator professional development, and to ease the challenges students who are military dependents face due to  their parents\x92 military station transfers or deployments.  These grants may be used to address student achievement in science, technology, mathematics, English language arts, or reading.  In addition, grants funds may be used for students\x92 transitional needs, such as additional guidance counselor support.","http://http:/militaryk12partners.dodea.edu/"
"411",411,"12.558","Department of Defense Impact Aid (Supplement, CWSD, BRAC)","DoD Impact Aid","Reimbursement for education related costs for military dependent children enrolled in a local educational agency (LEA) for the previous school year.","http://www.militaryk12partners.dodea.edu/impact.cfm"
"412",412,"12.560","DOD, NDEP, DOTC-STEM Education Outreach Implementation","","To obtain support for the management, development, and furthering of new and existing partnerships between the Department of Defense, National Defense Education Program, and Defense Ordnance Technology Consortium, for Science, Technology, Engineering,and Mathematics education and other outreach organizations, professional societies, and local education activities. The scope will cover all 50 states, U.S. territories, and DoDEA schools.","No Data Available"
"413",413,"12.561","Community Partners in Suicide Prevention","Community Partners in Suicide Prevention Outreach and Education 
","Conduct outreach and education efforts around mental health, substance use disorders, traumatic brain injury, and suicide prevention.  At the conclusion of this pilot, evaluate program effectiveness and impact and produce a report to Congress.","No Data Available"
"414",414,"12.579","Language Training Center","","The Language Training Center is a DOD-funded initiative that seeks to accelerate the development of foundational or higher-level expertise in critical and strategic languages and regional studies for DOD personnel (both military and civilian) by leveraging U.S. institutions of higher education to meet the existing and demonstrated training needs of DOD units, offices, or agencies.","No Data Available"
"415",415,"12.597","Task Force for Business & Stability Operations","Task Force for Business & Stability Operations","The TFBSO may fund projects to facilitate private investment, industrial development, banking and financial system development, agricultural diversification and revitalization, and energy development in and with respect to Afghanistan.","No Data Available"
"416",416,"12.598","Centers for Academic Excellence","Intelligence Community Centers for Academic Excellence","To enhance the recruitment and retention of an ethnically and culturally diverse intelligence community workforce with capabilities critical to the national security interests of the United States.","No Data Available"
"417",417,"12.599","Congressionally Directed Assistance"," Annual Congressionally Directed Assistance","To implement Congressionally directed assistance for the purposes identified in the Department of Defense (\x93DoD\x94) annual appropriations act.  The resulting assistance instruments support a variety of Congressional priorities.  DoD awards the appropriate assistance instruments for the Congressionally identified purposes consistent with its authority, including applicable requirements for merit-based or competitive processes.","No Data Available"
"418",418,"12.600","Community Investment","","To provide assistance authorized by statute.","http://www.oea.gov"
"419",419,"12.604","Community Economic Adjustment Assistance for Reductions in Defense Spending","","To provide assistance to State and local governments affected by qualifying Department of Defense actions.","http://www.oea.gov"
"420",420,"12.607","Community Economic Adjustment Assistance for Realignment or Closure of a Military Installation","","Assist States and local governments to: plan and carry out adjustment strategies; engage the private sector in order to plan and undertake community economic development and base redevelopment; and, partner with the Military Departments in response to the proposed or actual expansion, establishment, realignment or closure of a military installation by the Department of Defense (DoD).","http://www.oea.gov"
"421",421,"12.610","Community Economic Adjustment Assistance for Compatible Use and Joint Land Use Studies","","Assist State and local governments to mitigate or prevent incompatible civilian land use/activity that is likely to impair the continued operational utility of a Department of Defense (DoD) military installation.  Grantees and participating governments are expected to adopt and implement the study recommendations.","http://www.oea.gov"
"422",422,"12.611","Community Economic Adjustment Assistance for Reductions in Defense Industry Employment","","Assist States and local governments to plan and carry out community adjustment and economic diversification activities in response to reductions in defense industry employment.","http://www.oea.gov"
"423",423,"12.614","Community Economic Adjustment Assistance for Advance Planning and Economic Diversification","","Assist State and local governments to lessen an area's dependence on defense expenditures by preparing economic diversification strategies, and contingency strategies and schematic land use plans for the potential redevelopment of a military installation prior to closure or realignment decisions.","http://www.oea.gov"
"424",424,"12.615","Research and Technical Assistance","","To make awards to, or conclude cooperative agreements with States or local governments, or any nongovernmental or other private entity, to conduct research,  and provide technical assistance related to community economic adjustment needs and assistance under 10 U.S.C. Section 2391(c), or Executive Order 12788, as amended.  Awards provided under this notice support the Office of Economic Adjustment as well as the Defense Economic Adjustment Program (DEAP) by: (1) developing and analyzing information for program and policy considerations; and, (2) undertaking special research.","http://www.oea.gov"
